epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5357,1.19383,1.65841,1.36419,0.96581,0.83016,0.89292,0.59424,0.92562,0.70555,1.53838,0.00046412,0.00046412,0.00046412
2,24.4828,0.999,0.76797,1.1876,0.78513,0.77878,0.83896,0.58435,1.02699,1.47654,1.95637,0.000931143,0.000931143,0.000931143
3,36.331,0.96177,0.69142,1.16587,0.80677,0.84688,0.81173,0.55761,1.1311,1.7782,2.05185,0.00138873,0.00138873,0.00138873
4,48.088,0.89753,0.60165,1.12149,0.90939,0.63756,0.78063,0.56548,1.08914,1.97482,1.92461,0.00138656,0.00138656,0.00138656
5,59.8839,0.8351,0.55555,1.07621,0.76721,0.71502,0.72032,0.52723,1.03488,2.38005,1.5244,0.00137241,0.00137241,0.00137241
6,71.6952,0.78918,0.503,1.05037,0.88602,0.71667,0.77235,0.5221,1.17174,1.01102,1.50627,0.00135826,0.00135826,0.00135826
7,83.4634,0.75178,0.48224,1.04549,0.90642,0.90398,0.90895,0.61474,0.94551,0.78258,1.41722,0.00134412,0.00134412,0.00134412
8,95.3401,0.71545,0.45077,1.0124,0.78544,0.79333,0.7775,0.51416,1.16913,1.01575,1.57098,0.00132997,0.00132997,0.00132997
9,107.217,0.71725,0.45779,1.0332,0.83865,0.9,0.87306,0.59815,0.90704,0.54778,1.25505,0.00131582,0.00131582,0.00131582
10,119.041,0.67449,0.43727,1.01856,0.85976,0.88153,0.88381,0.6148,0.92193,0.58185,1.41232,0.00130168,0.00130168,0.00130168
11,130.881,0.64454,0.42415,0.98989,0.88756,0.90125,0.89728,0.64856,0.94526,0.5795,1.32803,0.00128753,0.00128753,0.00128753
12,142.753,0.59397,0.38525,0.96735,0.90457,0.92667,0.90908,0.67329,0.81886,0.53756,1.18876,0.00127338,0.00127338,0.00127338
13,154.679,0.61722,0.39528,0.98083,0.82854,0.90667,0.87933,0.61787,0.87001,0.53824,1.24182,0.00125923,0.00125923,0.00125923
14,166.666,0.58323,0.36971,0.96205,0.88622,0.77505,0.79933,0.60355,0.9421,0.52397,1.25963,0.00124509,0.00124509,0.00124509
15,178.497,0.56925,0.37231,0.9636,0.8162,0.90667,0.88853,0.63304,0.84836,0.49031,1.21063,0.00123094,0.00123094,0.00123094
16,190.544,0.54827,0.35488,0.94741,0.96526,0.91333,0.92829,0.66737,0.89014,0.41341,1.22086,0.00121679,0.00121679,0.00121679
17,202.507,0.53009,0.34329,0.93972,0.85365,0.92421,0.87282,0.61899,0.82608,0.50383,1.19895,0.00120265,0.00120265,0.00120265
18,214.698,0.52633,0.34273,0.93506,0.86619,0.90333,0.86954,0.67031,0.81838,0.48554,1.19381,0.0011885,0.0011885,0.0011885
19,226.49,0.5109,0.33835,0.92451,0.91982,0.75,0.85565,0.64018,1.00466,0.58388,1.42407,0.00117435,0.00117435,0.00117435
20,238.301,0.49693,0.32861,0.91621,0.9522,0.87333,0.90441,0.71648,0.8688,0.48103,1.29783,0.00116021,0.00116021,0.00116021
21,250.155,0.49206,0.32409,0.92639,0.8786,0.90188,0.91704,0.65025,0.91564,0.46293,1.36877,0.00114606,0.00114606,0.00114606
22,261.955,0.48057,0.32374,0.91413,0.77783,0.86667,0.77878,0.57232,0.93743,0.53406,1.40126,0.00113191,0.00113191,0.00113191
23,273.741,0.46107,0.30347,0.90766,0.92295,0.82415,0.90174,0.63654,0.90068,0.47719,1.28486,0.00111776,0.00111776,0.00111776
24,285.489,0.45631,0.30375,0.90524,0.87538,0.92,0.93273,0.66507,0.74156,0.46051,1.09332,0.00110362,0.00110362,0.00110362
25,297.256,0.43767,0.299,0.89525,0.95674,0.87707,0.93272,0.66086,0.86255,0.42849,1.29354,0.00108947,0.00108947,0.00108947
26,309.014,0.44971,0.29543,0.89699,0.84389,0.92768,0.92127,0.68077,0.74424,0.42246,1.09652,0.00107532,0.00107532,0.00107532
27,320.864,0.44317,0.29289,0.90358,0.90389,0.91397,0.92891,0.7234,0.81858,0.45489,1.21603,0.00106118,0.00106118,0.00106118
28,332.772,0.44975,0.29589,0.89761,0.9494,0.74089,0.85792,0.62525,0.94832,0.57653,1.33368,0.00104703,0.00104703,0.00104703
