epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85586,1.30704,2.04974,1.38257,0.64278,0.7219,0.69742,0.45995,1.3282,1.11088,1.46508,0.00046412,0.00046412,0.00046412
2,16.2128,1.04018,0.90219,1.16612,0.69123,0.55,0.59881,0.43915,1.32711,1.66545,1.64233,0.000931143,0.000931143,0.000931143
3,23.3694,0.97501,0.75243,1.12978,0.65079,0.65651,0.63949,0.50098,1.1818,1.39775,1.46478,0.00138873,0.00138873,0.00138873
4,30.512,0.93767,0.6929,1.10848,0.73746,0.68466,0.64981,0.50152,1.19361,1.72904,1.46501,0.00138656,0.00138656,0.00138656
5,37.6505,0.89683,0.63913,1.09033,0.94712,0.48141,0.70441,0.53064,1.03502,1.46258,1.26238,0.00137241,0.00137241,0.00137241
6,44.901,0.82479,0.59043,1.05257,0.81765,0.79813,0.85462,0.54214,1.05012,0.91619,1.21661,0.00135826,0.00135826,0.00135826
7,52.3315,0.81115,0.571,1.0528,0.64205,0.70667,0.60137,0.48251,0.93256,1.19466,1.23328,0.00134412,0.00134412,0.00134412
8,59.668,0.75911,0.52562,1.02368,0.74589,0.9103,0.82273,0.61309,0.92815,0.7277,1.22299,0.00132997,0.00132997,0.00132997
9,66.7217,0.74384,0.51877,1.0226,0.97556,0.71283,0.86808,0.61417,0.9325,0.63626,1.17821,0.00131582,0.00131582,0.00131582
10,73.8326,0.74244,0.48995,1.02356,0.82832,0.76503,0.77555,0.6044,1.00933,0.57004,1.34053,0.00130168,0.00130168,0.00130168
11,80.9112,0.70208,0.49858,0.9974,0.89587,0.84273,0.88501,0.64685,0.93576,0.66507,1.25408,0.00128753,0.00128753,0.00128753
12,87.9877,0.65121,0.47513,0.9724,0.90163,0.92667,0.8985,0.67869,0.87802,0.5567,1.12141,0.00127338,0.00127338,0.00127338
13,95.081,0.66694,0.46007,0.98118,0.88061,0.88437,0.83221,0.6036,1.0515,0.58344,1.25889,0.00125923,0.00125923,0.00125923
14,102.129,0.63068,0.43895,0.96529,0.86561,0.89333,0.86061,0.67091,0.84889,0.55284,1.15241,0.00124509,0.00124509,0.00124509
15,109.326,0.6206,0.42899,0.96568,0.94477,0.77673,0.89966,0.66787,0.82115,0.54545,1.11777,0.00123094,0.00123094,0.00123094
16,116.345,0.60745,0.41462,0.94977,0.86146,0.90282,0.87225,0.62125,0.89131,0.54494,1.12697,0.00121679,0.00121679,0.00121679
17,123.405,0.59238,0.40491,0.94897,0.75899,0.91,0.84482,0.62051,0.83819,0.52985,1.13995,0.00120265,0.00120265,0.00120265
18,130.492,0.58892,0.40496,0.94611,0.95316,0.8921,0.92225,0.6483,0.855,0.49696,1.14329,0.0011885,0.0011885,0.0011885
19,137.543,0.55938,0.39163,0.93762,0.96026,0.88667,0.92205,0.68282,0.83949,0.48391,1.14204,0.00117435,0.00117435,0.00117435
20,144.628,0.54274,0.37685,0.92541,0.96633,0.86877,0.92542,0.68552,0.81966,0.53191,1.07202,0.00116021,0.00116021,0.00116021
21,151.731,0.53954,0.37746,0.92564,0.82743,0.91186,0.86437,0.64125,0.80954,0.46622,1.099,0.00114606,0.00114606,0.00114606
22,158.804,0.54791,0.38369,0.93184,0.78423,0.80568,0.84974,0.6211,0.80514,0.57718,1.10008,0.00113191,0.00113191,0.00113191
23,165.952,0.50987,0.36151,0.91417,0.97594,0.72967,0.85508,0.62673,0.7963,0.49084,1.07061,0.00111776,0.00111776,0.00111776
24,173.061,0.5122,0.36296,0.92065,0.91741,0.86667,0.90877,0.6387,0.76069,0.43453,1.03762,0.00110362,0.00110362,0.00110362
25,180.16,0.51366,0.36792,0.91536,0.77662,0.75619,0.76988,0.57499,0.83163,0.53748,1.15855,0.00108947,0.00108947,0.00108947
26,187.275,0.50346,0.36537,0.91812,0.73476,0.85,0.76149,0.60928,0.74598,0.52135,1.05254,0.00107532,0.00107532,0.00107532
27,194.399,0.49617,0.36201,0.90856,0.91796,0.90542,0.91522,0.65794,0.81875,0.52268,1.07234,0.00106118,0.00106118,0.00106118
28,201.448,0.50352,0.36012,0.91447,0.99329,0.82744,0.91718,0.67246,0.80768,0.58668,1.14184,0.00104703,0.00104703,0.00104703
29,208.5,0.49481,0.35543,0.91987,0.94331,0.83474,0.90553,0.64663,0.80525,0.516,1.09083,0.00103288,0.00103288,0.00103288
30,215.654,0.49124,0.34671,0.9022,0.9282,0.87167,0.91375,0.675,0.78565,0.5137,1.05382,0.00101873,0.00101873,0.00101873
31,222.721,0.47129,0.33626,0.89902,0.87301,0.87796,0.87288,0.64718,0.82781,0.46774,1.13022,0.00100459,0.00100459,0.00100459
