epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8409,1.62457,3.89389,1.70562,0.88793,0.16667,0.27211,0.19998,1.02144,3.004,1.25819,4.287e-05,4.287e-05,4.287e-05
2,29.9587,1.10203,2.19766,1.25288,0.90144,0.46667,0.56081,0.46253,0.77815,2.57126,1.10458,9.90397e-05,9.90397e-05,9.90397e-05
3,40.2094,0.90393,1.27488,1.11398,0.87836,0.60069,0.67881,0.56634,0.70924,1.80562,1.09659,0.000154078,0.000154078,0.000154078
4,50.6045,0.90301,1.16061,1.12771,0.7542,0.60898,0.70507,0.56908,0.8584,1.23302,1.12557,0.000207984,0.000207984,0.000207984
5,60.2961,0.90508,0.95209,1.08616,0.94177,0.50123,0.70411,0.55728,0.83163,1.04659,1.09475,0.000260758,0.000260758,0.000260758
6,71.3844,0.86532,0.94145,1.07273,0.71406,0.67079,0.73403,0.58504,0.832,1.46359,1.14462,0.000312401,0.000312401,0.000312401
7,81.4151,0.86602,0.81338,1.05723,0.8321,0.79834,0.84147,0.64959,0.90983,1.20771,1.1716,0.000362912,0.000362912,0.000362912
8,92.8115,0.90383,0.78117,1.09858,0.63853,0.84068,0.79155,0.60994,0.81608,1.49756,1.13967,0.000412291,0.000412291,0.000412291
9,104.242,0.83318,0.79875,1.09074,0.75568,0.70548,0.81463,0.59729,0.81178,1.85829,1.21865,0.000460538,0.000460538,0.000460538
10,115.089,0.87895,0.73667,1.12277,0.4717,0.66667,0.57453,0.42417,1.27539,2.02094,1.57046,0.000507654,0.000507654,0.000507654
11,126.289,0.89516,0.82946,1.17934,0.74789,0.43333,0.48401,0.32342,1.30325,1.89175,1.46821,0.000553637,0.000553637,0.000553637
12,138.709,0.93278,0.82109,1.12564,0.63861,0.39996,0.43264,0.29755,1.86555,2.08284,2.16324,0.000598489,0.000598489,0.000598489
13,151.224,0.82058,0.75595,1.06791,0.69287,0.54521,0.65046,0.44836,1.32924,1.66624,1.83289,0.00064221,0.00064221,0.00064221
14,165.079,0.92878,0.89798,1.18354,0.8592,0.6,0.76346,0.52179,1.05143,1.07721,1.45877,0.000684798,0.000684798,0.000684798
15,175.844,0.83948,0.6793,1.06739,0.35737,0.51624,0.45501,0.31838,1.08541,2.32371,1.4195,0.000726255,0.000726255,0.000726255
16,186.347,0.85982,0.70748,1.08237,0.37741,0.5,0.46075,0.34796,1.42539,4.61823,1.88447,0.00076658,0.00076658,0.00076658
17,197.43,0.87785,0.68529,1.12962,0.31777,0.35657,0.39729,0.31415,1.03871,7.86358,1.40784,0.000805773,0.000805773,0.000805773
18,207.648,0.80081,0.63391,1.07451,0.60022,0.46667,0.4044,0.23793,1.59497,6.07097,1.95809,0.000843835,0.000843835,0.000843835
19,220.232,0.87165,0.66508,1.11689,0.46054,0.65488,0.41419,0.28649,1.54587,4.50107,1.90914,0.000880764,0.000880764,0.000880764
20,233.04,0.86934,0.6779,1.12927,0.44645,0.48849,0.4204,0.26256,1.80325,5.07388,2.2115,0.000916562,0.000916562,0.000916562
21,247.036,0.85334,0.66177,1.08147,0.32099,0.23333,0.13875,0.06934,2.58245,26.5422,2.84876,0.000951228,0.000951228,0.000951228
22,262.545,0.93325,0.74683,1.1312,0.25328,0.46667,0.22393,0.11071,1.88341,18.1597,2.20598,0.000984762,0.000984762,0.000984762
23,274.951,0.84136,0.67066,1.07643,0.51657,0.53333,0.50016,0.35866,1.35699,10.7834,1.59505,0.00101717,0.00101717,0.00101717
24,287.876,0.86769,0.76633,1.10102,0.23138,0.63333,0.5725,0.30639,1.81689,12.4501,2.34023,0.00104844,0.00104844,0.00104844
25,300.785,0.84964,0.72459,1.09938,0.24237,0.43333,0.22249,0.15126,1.90598,6.03573,2.24764,0.00107857,0.00107857,0.00107857
26,313.701,0.84211,0.74023,1.09092,0.53407,0.65325,0.60497,0.44832,1.29434,3.71703,1.7823,0.00107532,0.00107532,0.00107532
27,326.23,0.91626,0.79526,1.1121,0.6985,0.78443,0.88251,0.61554,0.93555,3.30165,1.33044,0.00106118,0.00106118,0.00106118
28,339.044,0.95763,0.6788,1.17411,0.61306,0.87796,0.7322,0.6134,0.77978,3.35286,1.27838,0.00104703,0.00104703,0.00104703
29,352.647,0.8111,0.60144,1.06854,0.70956,0.58522,0.72259,0.61128,0.76185,3.2522,1.26057,0.00103288,0.00103288,0.00103288
30,363.839,0.81508,0.57959,1.09441,0.8612,0.67928,0.75682,0.65615,0.62763,3.50439,1.04472,0.00101873,0.00101873,0.00101873
31,378.337,0.78128,0.59777,1.08863,0.80624,0.85769,0.90439,0.67205,0.6005,2.91636,0.98019,0.00100459,0.00100459,0.00100459
32,391.863,0.76148,0.57064,1.08131,0.6919,0.76667,0.79534,0.65437,0.68373,3.27724,1.08366,0.00099044,0.00099044,0.00099044
33,404.809,0.79579,0.57386,1.0745,0.70483,0.76667,0.7685,0.65771,0.61897,2.43953,1.04608,0.000976293,0.000976293,0.000976293
34,421.031,0.75658,0.56574,1.03394,0.76218,0.74595,0.76416,0.6106,0.72136,1.47276,1.08134,0.000962146,0.000962146,0.000962146
35,435.755,0.82833,0.57703,1.07315,0.78407,0.76667,0.76307,0.62727,0.73798,1.33781,1.13006,0.000947999,0.000947999,0.000947999
