epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0015,1.63135,3.86411,1.76024,0.66501,0.22961,0.29673,0.18522,0.98357,2.97183,1.22458,4.287e-05,4.287e-05,4.287e-05
2,16.7927,1.0333,2.08815,1.25079,0.40738,0.73333,0.6044,0.51167,0.60305,3.00347,0.96937,9.90397e-05,9.90397e-05,9.90397e-05
3,22.887,0.88419,1.2891,1.14628,0.60531,0.7,0.60744,0.51029,0.71977,1.303,1.08054,0.000154078,0.000154078,0.000154078
4,28.7809,0.92543,1.09996,1.12779,0.75758,0.60702,0.60023,0.45643,0.94512,1.57788,1.16194,0.000207984,0.000207984,0.000207984
5,34.9682,0.96714,1.04958,1.1737,0.73248,0.68573,0.66941,0.52788,0.76623,1.51129,1.14814,0.000260758,0.000260758,0.000260758
6,41.5238,0.86947,0.91524,1.1245,0.75392,0.93333,0.86729,0.64744,0.79629,1.0769,1.14147,0.000312401,0.000312401,0.000312401
7,47.7101,0.84165,0.77799,1.08798,0.90613,0.83907,0.91318,0.63877,0.92034,0.91553,1.30622,0.000362912,0.000362912,0.000362912
8,54.4791,0.87234,0.81569,1.11068,0.88699,0.81408,0.89,0.63177,0.97325,1.08633,1.26795,0.000412291,0.000412291,0.000412291
9,61.0829,0.8143,0.65825,1.07762,0.98145,0.84301,0.88883,0.68553,0.75194,0.87461,1.10403,0.000460538,0.000460538,0.000460538
10,67.8464,0.84882,0.71275,1.09063,0.68542,0.62593,0.6915,0.53025,0.94199,1.22105,1.14593,0.000507654,0.000507654,0.000507654
11,74.2374,0.9118,0.72503,1.13009,0.53039,0.64424,0.53843,0.43419,0.78038,2.29717,1.05557,0.000553637,0.000553637,0.000553637
12,80.4426,0.88728,0.6976,1.11561,0.36852,0.76667,0.3955,0.32205,0.85164,5.17111,1.14272,0.000598489,0.000598489,0.000598489
13,86.8745,0.8151,0.64009,1.05875,0.50577,0.85911,0.63993,0.50222,0.80427,2.25845,1.13682,0.00064221,0.00064221,0.00064221
14,92.9867,0.83656,0.67734,1.06363,0.69595,0.77976,0.74838,0.60755,0.83991,1.35945,1.21689,0.000684798,0.000684798,0.000684798
15,99.7588,0.83793,0.58946,1.08924,0.93355,0.9,0.92269,0.70519,0.86352,0.94339,1.30622,0.000726255,0.000726255,0.000726255
16,107.016,0.84012,0.64316,1.12795,0.95603,0.81769,0.91534,0.71305,0.88832,0.83656,1.2424,0.00076658,0.00076658,0.00076658
17,113.079,0.87272,0.64773,1.08764,0.94427,0.9,0.92528,0.53251,1.23697,1.15174,1.76565,0.000805773,0.000805773,0.000805773
18,119.391,0.83649,0.61939,1.07001,0.79377,0.78067,0.92858,0.73099,0.93742,1.09778,1.30474,0.000843835,0.000843835,0.000843835
19,126.22,0.77203,0.62543,1.056,0.86519,0.91774,0.87302,0.67782,0.77853,1.15217,1.21561,0.000880764,0.000880764,0.000880764
20,132.717,0.81966,0.64153,1.1093,0.68615,0.86441,0.80471,0.56738,0.82709,1.88212,1.27989,0.000916562,0.000916562,0.000916562
21,139.883,0.75788,0.565,1.04863,0.76119,0.80947,0.82312,0.5792,0.93774,1.87182,1.46016,0.000951228,0.000951228,0.000951228
22,147.274,0.79284,0.57029,1.05376,0.84465,0.71551,0.85732,0.59874,1.00509,2.0525,1.64176,0.000984762,0.000984762,0.000984762
23,154.259,0.77653,0.53971,1.0405,0.63092,0.77405,0.85612,0.61791,0.93015,2.48392,1.54564,0.00101717,0.00101717,0.00101717
24,161.404,0.76379,0.55385,1.03315,0.79558,0.85733,0.87554,0.63763,0.89411,1.9557,1.4517,0.00104844,0.00104844,0.00104844
25,169.226,0.81155,0.54589,1.11398,0.68848,0.8376,0.79902,0.57977,0.89129,1.30832,1.32322,0.00107857,0.00107857,0.00107857
26,177.007,0.86587,0.67748,1.16443,0.67574,0.73333,0.76235,0.59827,0.83037,1.44062,1.31116,0.00107532,0.00107532,0.00107532
