epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.92437,1.80948,3.7699,1.76123,0.00143,0.4,0.00283,0.00106,1.36983,3.95488,1.57904,4.287e-05,4.287e-05,4.287e-05
2,11.5673,1.48991,3.61164,1.49299,0.00458,0.63333,0.14372,0.0888,1.11568,3.72826,1.30893,9.90397e-05,9.90397e-05,9.90397e-05
3,15.2251,1.15806,3.21953,1.23188,0.00819,0.93333,0.25527,0.19683,0.87355,3.42204,1.05675,0.000154078,0.000154078,0.000154078
4,18.9689,1.10614,2.75177,1.16596,0.00728,0.93333,0.34506,0.24761,0.82753,3.25448,0.99286,0.000207984,0.000207984,0.000207984
5,22.6814,1.07245,2.34518,1.13239,0.00728,0.93333,0.36309,0.26423,0.9625,3.24032,1.07508,0.000260758,0.000260758,0.000260758
6,26.4376,1.06147,2.06922,1.15158,0.00725,0.93333,0.40506,0.28802,1.02322,3.21948,1.16508,0.000312401,0.000312401,0.000312401
7,30.2143,1.08245,1.79401,1.1127,0.00727,0.93333,0.57092,0.44047,0.92715,3.05513,1.08964,0.000362912,0.000362912,0.000362912
8,33.7922,1.0365,1.62247,1.13122,0.55659,0.6598,0.652,0.49533,0.7989,2.89421,1.01635,0.000412291,0.000412291,0.000412291
9,37.24,1.03726,1.51447,1.17083,1,0.18259,0.7776,0.63328,0.68898,2.87099,0.94526,0.000460538,0.000460538,0.000460538
10,41.0204,0.99409,1.41078,1.1338,0.00734,0.93333,0.69697,0.55588,0.86558,2.99527,1.00548,0.000507654,0.000507654,0.000507654
11,44.6493,1.03325,1.44673,1.1636,0.00734,0.93333,0.57715,0.44209,0.82606,3.17615,1.09295,0.000553637,0.000553637,0.000553637
12,48.7172,0.96222,1.35283,1.10163,0.00736,0.93333,0.45657,0.36749,0.83869,3.17493,1.17891,0.000598489,0.000598489,0.000598489
13,52.904,0.95716,1.25117,1.08268,0.00711,0.93333,0.53235,0.38905,0.9173,3.13573,1.19637,0.00064221,0.00064221,0.00064221
14,56.9011,1.03791,1.35896,1.16552,0.00697,0.93333,0.57564,0.3939,1.00542,3.07395,1.2862,0.000684798,0.000684798,0.000684798
15,61.6053,0.99586,1.1827,1.06265,1,0.24238,0.80904,0.55982,0.88129,2.84807,1.13976,0.000726255,0.000726255,0.000726255
16,65.947,0.95917,1.24974,1.07356,1,0.24685,0.77877,0.55126,0.8426,2.76501,1.12075,0.00076658,0.00076658,0.00076658
