epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.71797,2.10479,3.17631,2.10279,0.15518,0.36667,0.17652,0.07465,1.9635,2.6999,2.17968,0.0004287,0.0004287,0.0004287
2,19.0426,1.90749,2.33483,1.93707,0.00014,0.03333,8e-05,3e-05,3.61248,202.813,5.51495,0.000871477,0.000871477,0.000871477
3,28.2009,1.92814,2.1381,1.97883,0,0,0,0,3.71696,201.035,7.64448,0.0013134,0.0013134,0.0013134
4,37.2198,1.92724,2.10198,1.9754,0.35022,0.2,0.01148,0.00285,2.76102,26.3039,4.44522,0.00142586,0.00142586,0.00142586
5,46.2314,1.93686,2.04112,1.99436,0.74129,0.26667,0.3226,0.16425,2.13595,5.25102,2.31396,0.00142342,0.00142342,0.00142342
6,55.3182,1.83964,1.89898,1.92125,0.61962,0.5,0.34797,0.18567,1.75472,7.90505,2.0236,0.00142029,0.00142029,0.00142029
7,64.5559,1.80318,1.87345,1.89182,0.25308,0.6,0.37119,0.14654,1.79459,5.14716,2.24196,0.00141647,0.00141647,0.00141647
8,73.6122,1.80634,1.84909,1.88725,0.56666,0.7,0.5634,0.3182,1.5452,2.72876,1.79013,0.00141196,0.00141196,0.00141196
9,82.6946,1.72198,1.7048,1.81151,0.42048,0.57285,0.54981,0.30867,1.48956,2.59548,1.80991,0.00140678,0.00140678,0.00140678
10,91.6449,1.70213,1.68295,1.80688,0.76265,0.66538,0.65415,0.40935,1.36791,1.26858,1.59386,0.00140091,0.00140091,0.00140091
11,100.736,1.66962,1.61546,1.76352,0.80697,0.30516,0.39042,0.22632,1.62862,1.98283,1.85859,0.00139438,0.00139438,0.00139438
12,109.821,1.61219,1.55813,1.69808,0.71435,0.7,0.73789,0.40899,1.34819,1.18286,1.54398,0.00138718,0.00138718,0.00138718
13,118.987,1.61423,1.44994,1.68215,0.6627,0.73333,0.81681,0.48621,1.37509,1.15821,1.56082,0.00137933,0.00137933,0.00137933
14,128.241,1.55146,1.42705,1.675,0.64939,0.59939,0.7145,0.34989,1.76065,1.93434,1.87365,0.00137082,0.00137082,0.00137082
15,137.249,1.54961,1.37465,1.65649,0.60494,0.75234,0.62423,0.42765,1.23169,1.23843,1.42961,0.00136168,0.00136168,0.00136168
16,146.301,1.54035,1.33662,1.65172,0.59402,0.54749,0.62973,0.43027,1.12907,1.04992,1.33939,0.0013519,0.0013519,0.0013519
17,155.325,1.54366,1.3712,1.66631,0.60233,0.89051,0.72096,0.45204,1.31242,1.08674,1.44597,0.0013415,0.0013415,0.0013415
18,164.378,1.46499,1.25056,1.57348,0.65523,0.63333,0.61282,0.41514,1.26587,1.21979,1.38263,0.0013305,0.0013305,0.0013305
19,173.467,1.45043,1.22027,1.57804,0.71978,0.8799,0.75101,0.45567,1.25867,1.18755,1.47099,0.00131888,0.00131888,0.00131888
20,182.455,1.48392,1.27598,1.64228,0.63363,0.73333,0.64595,0.4586,1.05221,0.99646,1.33318,0.00130668,0.00130668,0.00130668
21,191.564,1.41721,1.19222,1.56719,0.92482,0.73333,0.79619,0.59172,1.11421,0.89682,1.32143,0.00129391,0.00129391,0.00129391
22,200.761,1.37312,1.10028,1.52729,0.88051,0.73333,0.83206,0.61089,1.02887,0.75391,1.27528,0.00128057,0.00128057,0.00128057
23,209.859,1.38383,1.06459,1.51468,0.5996,0.76667,0.66174,0.4907,1.03567,0.76751,1.24858,0.00126667,0.00126667,0.00126667
24,220.089,1.36614,1.09959,1.52588,0.61169,0.9,0.63598,0.43461,1.14717,0.8699,1.35571,0.00125224,0.00125224,0.00125224
25,230.362,1.35919,1.04317,1.51094,0.92232,0.73333,0.8313,0.62992,0.94593,0.73244,1.17505,0.00123728,0.00123728,0.00123728
26,242.198,1.30515,1.00937,1.47409,0.78383,0.86667,0.82694,0.57761,0.97189,0.73112,1.22561,0.00122182,0.00122182,0.00122182
27,252.294,1.28876,1.0155,1.46305,0.78456,0.75543,0.82165,0.6006,1.13577,0.81576,1.31787,0.00120586,0.00120586,0.00120586
28,261.412,1.34403,1.03076,1.50756,0.64291,0.68152,0.63358,0.46444,1.00322,0.78388,1.26848,0.00118943,0.00118943,0.00118943
29,270.39,1.29022,1.00599,1.45688,0.66539,0.76667,0.68965,0.5425,0.88538,0.66106,1.10477,0.00117253,0.00117253,0.00117253
30,279.44,1.26562,0.95597,1.45343,0.78823,0.73333,0.75338,0.60112,1.0197,0.69271,1.27088,0.00115519,0.00115519,0.00115519
31,288.47,1.25836,0.95367,1.45041,0.996,0.56652,0.62397,0.4661,0.9896,0.70733,1.2435,0.00113742,0.00113742,0.00113742
32,297.431,1.23299,0.93048,1.40052,0.70979,0.93333,0.70805,0.54049,0.87963,0.74719,1.15207,0.00111924,0.00111924,0.00111924
33,306.47,1.20331,0.9192,1.39611,0.72602,0.76667,0.75129,0.59289,0.85681,0.55908,1.11817,0.00110066,0.00110066,0.00110066
34,315.487,1.18939,0.88758,1.38411,0.6067,0.76667,0.71982,0.54407,0.81765,0.60613,1.11872,0.00108172,0.00108172,0.00108172
35,324.545,1.18049,0.86663,1.37412,0.6183,0.76667,0.69287,0.52973,0.89793,0.56862,1.15597,0.00106242,0.00106242,0.00106242
36,333.544,1.13162,0.80894,1.34315,0.69341,0.73333,0.79239,0.63562,0.83246,0.61916,1.11045,0.00104278,0.00104278,0.00104278
37,342.663,1.16115,0.82185,1.34072,0.80928,0.86972,0.80056,0.5971,0.87191,0.71584,1.10288,0.00102282,0.00102282,0.00102282
38,351.694,1.14268,0.81549,1.3277,0.69573,0.71881,0.65567,0.53973,0.80999,0.70516,1.09767,0.00100257,0.00100257,0.00100257
39,360.833,1.11796,0.80625,1.32217,0.77424,0.73333,0.72523,0.57309,0.82617,0.66132,1.08728,0.00098204,0.00098204,0.00098204
40,369.796,1.05572,0.7547,1.29061,0.76549,0.68113,0.68293,0.54651,0.73688,0.67313,1.06719,0.000961253,0.000961253,0.000961253
41,378.936,1.07901,0.73916,1.29318,0.69103,0.89927,0.70347,0.52674,0.8874,0.70102,1.1371,0.00094023,0.00094023,0.00094023
42,387.955,1.12367,0.76742,1.32959,0.66225,0.59736,0.65483,0.47954,0.98401,0.68175,1.14912,0.000918991,0.000918991,0.000918991
43,397.071,1.05508,0.75503,1.27707,0.8074,0.91548,0.88714,0.73484,0.77076,0.46802,1.05558,0.000897557,0.000897557,0.000897557
44,406.213,1.07074,0.76452,1.29558,0.86663,0.93333,0.88332,0.70284,0.86282,0.46707,1.14067,0.00087595,0.00087595,0.00087595
45,415.197,1.02988,0.74064,1.26027,0.72594,0.9192,0.71596,0.57661,0.82999,0.57452,1.11594,0.00085419,0.00085419,0.00085419
46,424.368,1.03344,0.70751,1.24259,0.72033,0.76667,0.72097,0.58945,0.77172,0.48219,1.05952,0.0008323,0.0008323,0.0008323
47,433.439,1.02794,0.70924,1.27055,0.84882,0.92735,0.94022,0.74388,0.70919,0.43181,1.03605,0.0008103,0.0008103,0.0008103
48,442.698,1.11378,0.77345,1.32009,0.84901,0.84152,0.94672,0.7311,0.76031,0.52849,1.04316,0.000788213,0.000788213,0.000788213
49,451.656,1.01616,0.69293,1.25766,0.82874,0.92164,0.83466,0.67559,0.82623,0.43551,1.11491,0.00076606,0.00076606,0.00076606
50,460.654,0.93973,0.65222,1.19862,0.86438,0.93333,0.83281,0.61434,0.83884,0.4844,1.09216,0.000743864,0.000743864,0.000743864
51,469.69,1.00005,0.69782,1.24973,0.79165,0.93333,0.78067,0.58496,0.83843,0.46205,1.13413,0.000721645,0.000721645,0.000721645
52,478.668,0.98428,0.6705,1.22843,0.82287,0.93333,0.83534,0.62402,0.8036,0.44047,1.08503,0.000699426,0.000699426,0.000699426
53,487.803,0.94827,0.65139,1.22226,0.85007,0.91581,0.88713,0.66806,0.90233,0.43893,1.15182,0.00067723,0.00067723,0.00067723
54,497.24,0.93344,0.62254,1.20568,0.86847,0.93333,0.88353,0.69991,0.78246,0.43439,1.06653,0.000655077,0.000655077,0.000655077
55,506.587,0.90803,0.61104,1.19449,0.79945,0.93333,0.8599,0.6816,0.79282,0.41814,1.0735,0.00063299,0.00063299,0.00063299
56,515.897,0.90972,0.62008,1.18919,0.80848,0.93333,0.78198,0.64761,0.74226,0.45516,1.03734,0.00061099,0.00061099,0.00061099
57,525.198,0.90114,0.598,1.1807,0.97792,0.92111,0.94521,0.79713,0.72426,0.41264,1.00323,0.0005891,0.0005891,0.0005891
58,534.641,0.90141,0.58817,1.17923,0.78269,0.85136,0.83887,0.72736,0.74432,0.59046,1.04484,0.00056734,0.00056734,0.00056734
59,543.807,0.9117,0.61861,1.19957,0.88088,0.90432,0.88971,0.73216,0.73292,0.43079,1.0073,0.000545733,0.000545733,0.000545733
60,553.197,0.89116,0.5903,1.15553,0.77161,0.9,0.77384,0.64555,0.74281,0.42426,1.03837,0.000524299,0.000524299,0.000524299
61,562.399,0.84949,0.57293,1.14884,0.79669,0.9204,0.85765,0.71684,0.82425,0.43754,1.12155,0.00050306,0.00050306,0.00050306
62,571.697,0.89588,0.59887,1.18578,0.86389,0.90779,0.89025,0.74073,0.79912,0.41077,1.07697,0.000482037,0.000482037,0.000482037
63,581.022,0.86414,0.58002,1.15607,0.79118,0.93333,0.76793,0.60396,0.81238,0.48006,1.04942,0.00046125,0.00046125,0.00046125
64,590.164,0.84251,0.56099,1.13978,0.81397,0.91666,0.78399,0.61452,0.79642,0.44235,1.03745,0.00044072,0.00044072,0.00044072
65,599.43,0.79669,0.53143,1.10724,0.78626,0.93333,0.78267,0.62877,0.7577,0.40344,1.05308,0.000420468,0.000420468,0.000420468
66,609.012,0.79801,0.53289,1.10689,0.7972,0.93333,0.78619,0.63977,0.77217,0.38528,1.04152,0.000400513,0.000400513,0.000400513
67,618.249,0.82481,0.55568,1.12589,0.86643,0.9075,0.83909,0.64815,0.75907,0.3997,1.05405,0.000380874,0.000380874,0.000380874
68,627.382,0.77712,0.51587,1.1117,0.8499,0.93333,0.83978,0.62475,0.7927,0.3872,1.04399,0.000361572,0.000361572,0.000361572
69,636.458,0.78912,0.5167,1.09894,0.8117,0.92428,0.8674,0.6568,0.68144,0.42163,0.99269,0.000342625,0.000342625,0.000342625
70,645.5,0.75209,0.51704,1.08508,0.78392,0.93333,0.78894,0.61614,0.75084,0.40191,1.02814,0.000324053,0.000324053,0.000324053
71,654.506,0.75032,0.50646,1.08496,0.86691,0.93333,0.83706,0.63732,0.74165,0.3778,1.0335,0.000305872,0.000305872,0.000305872
72,663.51,0.72888,0.50729,1.0839,0.87072,0.93333,0.84547,0.67212,0.783,0.43991,1.03508,0.000288102,0.000288102,0.000288102
73,672.542,0.73217,0.50541,1.08506,0.80984,0.93333,0.79019,0.65713,0.75145,0.43902,1.02184,0.00027076,0.00027076,0.00027076
74,681.686,0.71356,0.49058,1.07697,0.82261,0.90286,0.84803,0.67373,0.73994,0.42501,1.01872,0.000253863,0.000253863,0.000253863
75,690.689,0.71352,0.48271,1.06493,0.81706,0.90718,0.78698,0.62786,0.72158,0.42937,1.00638,0.000237427,0.000237427,0.000237427
76,699.698,0.69346,0.47748,1.05524,0.78827,0.92813,0.79125,0.61834,0.72567,0.40548,1.01354,0.000221469,0.000221469,0.000221469
77,708.901,0.68024,0.47739,1.03579,0.76749,0.92169,0.78929,0.6645,0.6981,0.39208,1.00635,0.000206005,0.000206005,0.000206005
78,718.063,0.68634,0.4623,1.04603,0.7803,0.92776,0.78656,0.65945,0.69593,0.38074,1.00063,0.00019105,0.00019105,0.00019105
79,727.11,0.6782,0.46646,1.0485,0.76248,0.91761,0.78894,0.6576,0.68086,0.40844,0.99283,0.000176619,0.000176619,0.000176619
80,736.363,0.68356,0.45624,1.04605,0.73423,0.76601,0.72607,0.60461,0.6892,0.45109,1.00454,0.000162725,0.000162725,0.000162725
81,745.505,0.64311,0.44754,1.02129,0.76407,0.71392,0.7147,0.59181,0.69439,0.49021,1.00057,0.000149383,0.000149383,0.000149383
82,754.792,0.64602,0.44548,1.02069,0.74041,0.76026,0.72253,0.59177,0.71885,0.45778,1.01795,0.000136605,0.000136605,0.000136605
83,763.897,0.63563,0.43672,1.01973,0.76044,0.74068,0.73747,0.59512,0.70052,0.42849,1.00348,0.000124405,0.000124405,0.000124405
84,773.017,0.63112,0.44022,1.01692,0.76317,0.73737,0.73366,0.60864,0.70207,0.44859,0.99046,0.000112795,0.000112795,0.000112795
85,782.054,0.65518,0.45439,1.03728,0.76502,0.73665,0.73472,0.5984,0.72899,0.46636,1.00384,0.000101785,0.000101785,0.000101785
86,791.178,0.63116,0.42425,1.01774,0.77956,0.92045,0.78788,0.64238,0.72209,0.46941,1.00343,9.13871e-05,9.13871e-05,9.13871e-05
87,800.319,0.63077,0.43005,1.01885,0.77961,0.92238,0.78698,0.64005,0.69869,0.46354,1.00117,8.16111e-05,8.16111e-05,8.16111e-05
88,809.62,0.65059,0.44615,1.02413,0.7882,0.92557,0.78619,0.63904,0.70408,0.44011,0.998,7.24667e-05,7.24667e-05,7.24667e-05
89,818.714,0.62271,0.4415,1.02069,0.81096,0.93333,0.78529,0.63659,0.70993,0.43814,0.98971,6.3963e-05,6.3963e-05,6.3963e-05
90,827.877,0.63316,0.44173,1.02771,0.81341,0.92512,0.78529,0.64648,0.68661,0.43095,0.9819,5.61083e-05,5.61083e-05,5.61083e-05
91,915.778,0.57172,0.35216,0.99283,0.80842,0.9296,0.86387,0.69734,0.68989,0.43254,0.98454,4.89104e-05,4.89104e-05,4.89104e-05
92,930.794,0.54721,0.33807,0.9846,0.77093,0.93148,0.84536,0.65243,0.7088,0.43134,0.99128,4.23765e-05,4.23765e-05,4.23765e-05
93,940.069,0.51868,0.31254,0.94807,0.74865,0.92335,0.76169,0.62145,0.70298,0.43926,0.9972,3.65129e-05,3.65129e-05,3.65129e-05
94,949.256,0.50531,0.30299,0.94986,0.78062,0.92479,0.77917,0.63411,0.69514,0.4312,0.99646,3.13254e-05,3.13254e-05,3.13254e-05
95,959.494,0.50897,0.31108,0.95609,0.75648,0.92529,0.76469,0.63646,0.69153,0.42978,0.99338,2.68192e-05,2.68192e-05,2.68192e-05
96,969.929,0.50956,0.31546,0.95565,0.77521,0.93263,0.76512,0.63485,0.69497,0.43831,0.99221,2.29987e-05,2.29987e-05,2.29987e-05
97,980.241,0.50183,0.30024,0.94761,0.77465,0.93174,0.76469,0.63716,0.70226,0.44707,0.99556,1.98677e-05,1.98677e-05,1.98677e-05
98,990.544,0.49394,0.30591,0.93719,0.7752,0.92997,0.76638,0.63458,0.7016,0.44448,0.99554,1.74293e-05,1.74293e-05,1.74293e-05
99,1000.86,0.50682,0.30919,0.9677,0.77661,0.92839,0.76638,0.62845,0.69667,0.4425,0.99414,1.56858e-05,1.56858e-05,1.56858e-05
100,1010.09,0.49655,0.29752,0.9337,0.77691,0.93054,0.76744,0.63846,0.68989,0.43645,0.99076,1.4639e-05,1.4639e-05,1.4639e-05
