epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.76482,2.13395,3.85524,2.04471,0.00661,0.93333,0.21179,0.09442,1.50869,3.21306,1.37481,0.0004287,0.0004287,0.0004287
2,10.8532,1.95145,3.01553,1.82082,0.81542,0.1,0.3193,0.15006,1.52787,2.56744,1.62716,0.000871477,0.000871477,0.000871477
3,15.6163,1.81113,2.62439,1.77831,0.50675,0.26667,0.2976,0.17714,1.51352,2.35925,1.59927,0.0013134,0.0013134,0.0013134
4,20.8731,1.83412,2.46115,1.78647,0.40229,0.36667,0.3928,0.27009,1.25784,2.31489,1.41963,0.00142586,0.00142586,0.00142586
5,25.7256,1.77365,2.33445,1.72481,0.43807,0.74112,0.58146,0.30318,1.42312,1.88201,1.49005,0.00142342,0.00142342,0.00142342
6,31.1764,1.71505,2.10771,1.65793,0.38119,0.63669,0.6557,0.36836,1.32578,1.78711,1.42962,0.00142029,0.00142029,0.00142029
7,36.4751,1.66232,2.01579,1.63074,0.81712,0.43333,0.56654,0.43473,1.23764,3.16853,1.45305,0.00141647,0.00141647,0.00141647
8,42.0107,1.62612,1.88413,1.6177,0.43889,0.68457,0.61775,0.37977,1.29428,2.09009,1.43162,0.00141196,0.00141196,0.00141196
9,46.9188,1.56508,1.77882,1.54568,0.85483,0.69468,0.74408,0.47083,1.29439,1.29183,1.39703,0.00140678,0.00140678,0.00140678
10,52.4649,1.55491,1.71509,1.55388,0.64098,0.66667,0.7601,0.50442,1.30719,1.26781,1.42166,0.00140091,0.00140091,0.00140091
11,57.108,1.52085,1.66119,1.53112,0.55313,0.63207,0.56772,0.35223,1.14722,1.42196,1.34621,0.00139438,0.00139438,0.00139438
12,62.4933,1.48109,1.57076,1.48272,0.74739,0.77918,0.76897,0.57482,0.97928,1.32986,1.16444,0.00138718,0.00138718,0.00138718
13,67.5888,1.45927,1.51071,1.47068,0.70224,0.86667,0.70425,0.53622,0.93922,0.99177,1.1979,0.00137933,0.00137933,0.00137933
14,72.9652,1.42142,1.40918,1.46626,0.56679,0.70245,0.67477,0.28591,1.84437,1.67833,1.77483,0.00137082,0.00137082,0.00137082
15,77.5539,1.46612,1.4566,1.47888,0.73819,0.9,0.7085,0.55364,0.84425,0.95872,1.09517,0.00136168,0.00136168,0.00136168
16,82.321,1.45507,1.385,1.47388,0.76795,0.91839,0.75957,0.57168,0.88279,1.01602,1.1731,0.0013519,0.0013519,0.0013519
17,87.2509,1.42454,1.382,1.47981,0.63965,0.73333,0.67721,0.49095,1.01103,0.90514,1.19709,0.0013415,0.0013415,0.0013415
18,92.1363,1.38165,1.28457,1.41934,0.87651,0.6968,0.7847,0.58761,0.92551,0.8069,1.16314,0.0013305,0.0013305,0.0013305
19,97.0803,1.33936,1.24413,1.40871,0.85395,0.91107,0.87379,0.67481,0.79997,0.75807,1.11998,0.00131888,0.00131888,0.00131888
20,101.946,1.36256,1.25317,1.42475,0.66034,0.73333,0.66624,0.51566,0.98219,0.83563,1.18409,0.00130668,0.00130668,0.00130668
21,106.711,1.35741,1.24736,1.41164,0.68743,0.75925,0.68746,0.53798,0.82195,0.78454,1.12999,0.00129391,0.00129391,0.00129391
