epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.29331,2.12905,3.56184,2.07385,0.76565,0.36667,0.50488,0.25121,1.69731,2.46466,1.55709,0.0004287,0.0004287,0.0004287
2,11.951,1.8365,2.26351,1.83541,0.59505,0.67528,0.54119,0.24014,1.57126,1.71726,1.82024,0.000871477,0.000871477,0.000871477
3,17.2991,1.77723,1.90907,1.80122,0.43905,0.53,0.32705,0.1637,1.57756,3.42783,2.00113,0.0013134,0.0013134,0.0013134
4,22.525,1.79534,1.76511,1.78882,0.85035,0.3,0.35565,0.12036,1.96812,2.42308,2.24041,0.00142586,0.00142586,0.00142586
5,27.7453,1.77159,1.74427,1.79088,0.34442,0.40741,0.37766,0.21038,1.89922,3.92323,1.85411,0.00142342,0.00142342,0.00142342
6,32.9849,1.71368,1.59348,1.72105,0.85294,0.52766,0.53361,0.31342,1.37955,2.2014,1.59348,0.00142029,0.00142029,0.00142029
7,38.3824,1.59273,1.46584,1.65661,0.43557,0.68248,0.60397,0.46845,1.04997,1.50545,1.24283,0.00141647,0.00141647,0.00141647
8,43.7535,1.63188,1.3951,1.67028,0.48817,0.71943,0.63058,0.39875,1.39329,1.15335,1.50441,0.00141196,0.00141196,0.00141196
9,49.0037,1.52789,1.28715,1.59653,0.86211,0.69111,0.76253,0.43756,1.59982,0.92935,1.72273,0.00140678,0.00140678,0.00140678
10,54.4887,1.49962,1.27228,1.57248,0.56219,0.59812,0.59228,0.35458,1.40843,1.31749,1.58143,0.00140091,0.00140091,0.00140091
11,59.778,1.49098,1.26471,1.57319,0.62852,0.76667,0.65616,0.4619,1.06307,0.85708,1.27491,0.00139438,0.00139438,0.00139438
12,65.0897,1.44246,1.17477,1.50359,0.81273,0.75408,0.8208,0.60998,0.88508,0.64461,1.14968,0.00138718,0.00138718,0.00138718
13,70.5471,1.49339,1.17902,1.53119,0.68437,0.87646,0.78585,0.54997,0.89464,0.97643,1.18974,0.00137933,0.00137933,0.00137933
14,75.7782,1.42395,1.11761,1.5213,0.70309,0.73333,0.77992,0.54466,1.11288,0.84799,1.30645,0.00137082,0.00137082,0.00137082
15,81.0742,1.42151,1.14571,1.50662,0.75072,0.76667,0.70979,0.51358,0.93794,0.71122,1.18833,0.00136168,0.00136168,0.00136168
16,86.3048,1.42327,1.11515,1.51989,0.68829,0.80329,0.70959,0.50484,1.02189,1.34796,1.25307,0.0013519,0.0013519,0.0013519
17,91.6634,1.40104,1.11218,1.51409,0.75501,0.93333,0.76522,0.50602,1.09531,0.68863,1.29663,0.0013415,0.0013415,0.0013415
18,97.0681,1.29517,0.99366,1.40991,0.83434,0.76667,0.81063,0.54603,1.11569,0.64418,1.33231,0.0013305,0.0013305,0.0013305
19,102.346,1.29992,0.95316,1.41406,0.76152,0.72405,0.78054,0.58744,0.89608,0.72161,1.15008,0.00131888,0.00131888,0.00131888
20,107.704,1.3203,1.02867,1.44386,0.7513,0.73333,0.80291,0.58009,1.0299,0.70086,1.26322,0.00130668,0.00130668,0.00130668
21,113.296,1.27543,1.01174,1.40331,0.89463,0.76667,0.77513,0.58528,0.8992,0.68139,1.12001,0.00129391,0.00129391,0.00129391
22,119.078,1.23772,0.94006,1.37702,0.75472,0.93333,0.73528,0.55575,0.82672,0.60467,1.1077,0.00128057,0.00128057,0.00128057
23,124.982,1.24657,0.91153,1.36483,0.78356,0.69934,0.6896,0.52013,0.91743,0.71022,1.18026,0.00126667,0.00126667,0.00126667
24,130.858,1.26152,0.94485,1.39761,0.74949,0.76278,0.68936,0.50855,0.95378,0.64905,1.17644,0.00125224,0.00125224,0.00125224
25,136.552,1.26849,0.94253,1.41009,0.90308,0.75102,0.80205,0.59989,1.00571,0.6465,1.17943,0.00123728,0.00123728,0.00123728
26,142.424,1.18617,0.90586,1.34199,0.81389,0.76667,0.72094,0.58537,0.86796,0.61103,1.12531,0.00122182,0.00122182,0.00122182
27,148.031,1.19151,0.85965,1.34023,0.69595,0.93333,0.75334,0.58326,0.79905,0.6423,1.10844,0.00120586,0.00120586,0.00120586
28,154.018,1.17966,0.845,1.3329,0.81845,0.93333,0.88313,0.57962,1.05278,0.56367,1.22788,0.00118943,0.00118943,0.00118943
29,160.289,1.15393,0.83861,1.30719,0.73597,0.93333,0.77453,0.59617,0.8164,0.49739,1.09593,0.00117253,0.00117253,0.00117253
30,166.272,1.13241,0.77725,1.287,0.66109,0.9307,0.71666,0.52431,0.91422,0.64629,1.12111,0.00115519,0.00115519,0.00115519
31,172.108,1.13014,0.78831,1.2954,0.64794,0.74104,0.68892,0.5578,0.75699,0.59833,1.0678,0.00113742,0.00113742,0.00113742
