epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9573,1.70501,2.2506,1.75012,0.66181,0.60589,0.62727,0.29756,1.79126,1.5642,1.97321,0.000472364,0.000472364,0.000472364
2,60.7787,1.50151,1.28679,1.55296,0.71578,0.73771,0.76785,0.41364,1.54077,1.26978,1.75558,0.000948466,0.000948466,0.000948466
3,91.2992,1.46358,1.13648,1.5317,0.80219,0.75837,0.8072,0.43222,1.49728,0.98388,1.74851,0.00142364,0.00142364,0.00142364
4,122.351,1.37649,1.04879,1.47525,0.80011,0.78103,0.84483,0.53629,1.23584,0.98486,1.45668,0.00142586,0.00142586,0.00142586
5,152.854,1.33373,0.95451,1.42776,0.86736,0.81044,0.88093,0.57718,1.22808,0.82685,1.45157,0.00142342,0.00142342,0.00142342
6,184.699,1.27222,0.91515,1.39364,0.87686,0.82737,0.88558,0.56408,1.22879,0.76454,1.45035,0.00142029,0.00142029,0.00142029
7,219.501,1.24698,0.8757,1.37215,0.91392,0.85394,0.92448,0.66264,1.0426,0.66912,1.30105,0.00141647,0.00141647,0.00141647
8,255.677,1.18374,0.81915,1.32446,0.91002,0.89936,0.93522,0.68431,0.9894,0.62784,1.25551,0.00141196,0.00141196,0.00141196
9,288.954,1.20802,0.83144,1.33902,0.94035,0.86973,0.93328,0.63788,1.1368,0.64628,1.36678,0.00140678,0.00140678,0.00140678
10,320.654,1.12215,0.75739,1.26339,0.87784,0.89042,0.9402,0.68187,1.00275,0.82877,1.2688,0.00140091,0.00140091,0.00140091
11,352.128,1.10964,0.74247,1.27925,0.91501,0.90056,0.94495,0.69886,0.96969,0.57049,1.22975,0.00139438,0.00139438,0.00139438
12,384.121,1.09605,0.72767,1.25353,0.89359,0.91114,0.95246,0.72055,0.90639,0.54212,1.18237,0.00138718,0.00138718,0.00138718
13,417.552,1.07946,0.71869,1.25561,0.94295,0.91515,0.95466,0.71903,0.93474,0.54005,1.21266,0.00137933,0.00137933,0.00137933
14,453.036,1.04358,0.69654,1.23299,0.92559,0.93616,0.96522,0.75902,0.85182,0.47824,1.15819,0.00137082,0.00137082,0.00137082
15,485.405,1.04179,0.68231,1.24002,0.94747,0.92076,0.96471,0.73129,0.92048,0.486,1.17479,0.00136168,0.00136168,0.00136168
16,516.422,1.02391,0.68688,1.22274,0.93951,0.94961,0.97014,0.77253,0.83009,0.47317,1.13825,0.0013519,0.0013519,0.0013519
