epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8864,1.02415,1.52975,1.23173,0.73713,0.38865,0.44525,0.30033,1.64169,2.14352,1.93343,0.000469982,0.000469982,0.000469982
2,37.4104,0.76109,0.66451,1.04221,0.77573,0.45563,0.53659,0.36864,1.57048,1.75669,1.88229,0.000946084,0.000946084,0.000946084
3,56.7964,0.74802,0.6168,1.0364,0.71676,0.42203,0.50649,0.33915,1.75682,2.62765,2.1389,0.00142126,0.00142126,0.00142126
4,76.3773,0.71828,0.55422,1.01342,0.74671,0.48729,0.56317,0.39181,1.58953,1.71247,1.99813,0.00142586,0.00142586,0.00142586
5,101.852,0.69865,0.52515,1.00518,0.75521,0.46141,0.54643,0.39157,1.51978,1.96748,1.83152,0.00142342,0.00142342,0.00142342
6,120.651,0.65517,0.49703,0.98425,0.77457,0.43158,0.50152,0.35591,1.57557,1.90859,1.84815,0.00142029,0.00142029,0.00142029
7,139.558,0.63854,0.4706,0.98228,0.70665,0.44225,0.51343,0.36874,1.59263,2.15301,1.89629,0.00141647,0.00141647,0.00141647
8,158.654,0.6104,0.45615,0.9595,0.86003,0.39936,0.50436,0.38713,1.55452,2.24527,1.88042,0.00141196,0.00141196,0.00141196
9,177.739,0.6023,0.45093,0.96875,0.81941,0.44121,0.54746,0.40291,1.64068,2.18076,1.94508,0.00140678,0.00140678,0.00140678
10,197.079,0.58125,0.42138,0.95394,0.83024,0.44838,0.56564,0.42241,1.54206,2.18004,1.87316,0.00140091,0.00140091,0.00140091
11,217.762,0.57963,0.4263,0.95382,0.7603,0.50192,0.56457,0.42161,1.5133,1.84966,1.8728,0.00139438,0.00139438,0.00139438
12,237.247,0.54619,0.41364,0.93661,0.83146,0.44775,0.54006,0.4082,1.5407,2.26865,1.91708,0.00138718,0.00138718,0.00138718
13,257.471,0.55345,0.39883,0.94414,0.81689,0.45144,0.54513,0.40217,1.5471,1.87069,1.91508,0.00137933,0.00137933,0.00137933
14,276.183,0.5446,0.38862,0.93222,0.84831,0.45431,0.57984,0.45382,1.55689,2.65994,1.88156,0.00137082,0.00137082,0.00137082
15,295.847,0.53532,0.39415,0.93355,0.80754,0.48797,0.57405,0.42412,1.49651,1.95063,1.84865,0.00136168,0.00136168,0.00136168
16,315.056,0.50968,0.37767,0.92393,0.84615,0.45781,0.57534,0.4447,1.47572,2.17704,1.85881,0.0013519,0.0013519,0.0013519
17,334.617,0.51042,0.3765,0.92916,0.79816,0.45734,0.58594,0.45727,1.46141,2.2936,1.8419,0.0013415,0.0013415,0.0013415
18,354.042,0.50591,0.36213,0.92852,0.87221,0.45658,0.56522,0.43643,1.51985,2.25325,1.89311,0.0013305,0.0013305,0.0013305
