epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.0917,1.66301,9.36603,1.70303,0.75275,0.639,0.68078,0.50854,1.07438,6.57503,1.33918,0.000475396,0.000475396,0.000475396
2,176.45,1.54989,6.53941,1.59168,0.7558,0.9,0.73676,0.48775,1.21144,4.72055,1.40377,0.000951497,0.000951497,0.000951497
3,258.906,1.48094,5.93753,1.53576,0.74261,0.73944,0.73483,0.55607,0.99744,3.61408,1.26117,0.00142667,0.00142667,0.00142667
4,340.473,1.4167,5.48843,1.48701,0.85293,0.87288,0.87746,0.65797,0.98534,3.25161,1.23018,0.00142586,0.00142586,0.00142586
5,423.384,1.35483,5.01762,1.44358,0.85512,0.9,0.85694,0.65938,1.00699,4.49547,1.19522,0.00142342,0.00142342,0.00142342
6,510.154,1.29108,4.67266,1.39724,0.848,0.9,0.94407,0.69293,0.90681,2.81463,1.1391,0.00142029,0.00142029,0.00142029
7,592.791,1.25816,4.49911,1.36795,0.92682,0.74353,0.85387,0.7102,0.79774,2.78222,1.09967,0.00141647,0.00141647,0.00141647
8,674.966,1.23877,4.29758,1.3536,0.97179,0.72877,0.84906,0.68405,0.86737,2.78332,1.10573,0.00141196,0.00141196,0.00141196
9,757.006,1.21155,4.21816,1.33758,0.87003,0.90381,0.88829,0.63618,0.81313,2.71686,1.08704,0.00140678,0.00140678,0.00140678
10,840.443,1.20693,4.13622,1.33464,0.93973,0.73362,0.86555,0.66018,0.84822,2.51087,1.11592,0.00140091,0.00140091,0.00140091
11,929.88,1.1799,4.01207,1.31267,0.74511,0.9,0.72382,0.58546,0.74105,3.10537,1.05871,0.00139438,0.00139438,0.00139438
12,1013.02,1.15056,3.86871,1.29368,0.89698,0.69987,0.82584,0.62233,0.78614,3.13329,1.07363,0.00138718,0.00138718,0.00138718
13,1094.46,1.13734,3.78178,1.28229,0.83326,0.9,0.87778,0.72735,0.86479,2.76893,1.11106,0.00137933,0.00137933,0.00137933
14,1175.99,1.14236,3.79535,1.28919,0.97268,0.90569,0.95387,0.69553,0.80867,2.53071,1.08551,0.00137082,0.00137082,0.00137082
15,1257.4,1.12837,3.68905,1.27025,0.85446,0.9,0.82825,0.65428,0.70835,2.78481,1.0062,0.00136168,0.00136168,0.00136168
16,1338.78,1.09765,3.57537,1.25544,0.95052,0.75902,0.85833,0.64542,0.69286,2.39938,1.00373,0.0013519,0.0013519,0.0013519
17,1420.27,1.08881,3.46821,1.24504,0.91804,0.93333,0.96317,0.72269,0.75346,2.21991,1.03507,0.0013415,0.0013415,0.0013415
18,1501.75,1.08075,3.47875,1.24778,0.86981,0.91035,0.90028,0.66613,0.73852,2.37162,1.03783,0.0013305,0.0013305,0.0013305
19,1583.47,1.06938,3.42039,1.23292,0.76508,0.9,0.78325,0.65451,0.67166,2.26817,0.97868,0.00131888,0.00131888,0.00131888
20,1672.41,1.06678,3.39683,1.23538,0.79274,0.9,0.77631,0.59875,0.72166,2.73338,1.00373,0.00130668,0.00130668,0.00130668
21,1759.33,1.06436,3.38027,1.22913,0.83014,0.91608,0.84606,0.63294,0.77494,2.32955,1.03452,0.00129391,0.00129391,0.00129391
22,1841.59,1.04038,3.288,1.22026,0.77821,0.76667,0.78493,0.60564,0.74008,2.55077,1.02638,0.00128057,0.00128057,0.00128057
23,1923.1,1.04297,3.27699,1.21451,0.79158,0.93333,0.868,0.69843,0.76731,2.3103,1.01734,0.00126667,0.00126667,0.00126667
24,2004.69,1.02488,3.17796,1.20542,0.81629,0.92368,0.871,0.7084,0.77296,2.45798,1.0197,0.00125224,0.00125224,0.00125224
25,2086.3,1.02923,3.20607,1.21112,0.80843,0.93333,0.78388,0.62269,0.81667,2.46267,1.07197,0.00123728,0.00123728,0.00123728
26,2167.95,1.02206,3.20155,1.20284,0.76545,0.74432,0.75598,0.60733,0.70098,2.50718,0.9838,0.00122182,0.00122182,0.00122182
27,2249.61,1.00241,3.11567,1.19385,0.87411,0.90217,0.90028,0.70705,0.77361,2.43377,1.0305,0.00120586,0.00120586,0.00120586
28,2331.62,1.00741,3.11418,1.19806,0.83962,0.9,0.84309,0.65117,0.73604,2.3295,1.03409,0.00118943,0.00118943,0.00118943
29,2414.01,0.99822,3.09992,1.19289,0.75919,0.93333,0.77285,0.62387,0.82324,2.51982,1.06653,0.00117253,0.00117253,0.00117253
30,2495.75,0.98788,3.02986,1.18584,0.79769,0.93333,0.78931,0.625,0.80093,2.27621,1.0296,0.00115519,0.00115519,0.00115519
31,2577.41,0.99193,3.03458,1.182,0.87146,0.9253,0.84711,0.63314,0.82384,2.39432,1.0581,0.00113742,0.00113742,0.00113742
32,2659.07,0.97981,2.96406,1.17816,0.82299,0.88301,0.84089,0.65364,0.80275,2.48585,1.08161,0.00111924,0.00111924,0.00111924
33,2740.86,0.97855,2.98224,1.17492,0.65869,0.85918,0.75703,0.61131,0.74415,2.82134,1.0133,0.00110066,0.00110066,0.00110066
34,2822.69,0.97938,2.97559,1.17975,0.86484,0.9,0.89697,0.73129,0.86505,2.48362,1.0724,0.00108172,0.00108172,0.00108172
35,2904.28,0.96174,2.92931,1.16528,0.78499,0.93333,0.794,0.6118,0.82763,2.39964,1.07151,0.00106242,0.00106242,0.00106242
36,2985.81,0.96521,2.91799,1.16929,0.80743,0.90906,0.794,0.63261,0.71653,2.15849,0.96913,0.00104278,0.00104278,0.00104278
37,3067.62,0.96107,2.87094,1.16096,0.8798,0.90249,0.90611,0.72668,0.72476,2.39627,1.0058,0.00102282,0.00102282,0.00102282
38,3149.08,0.94774,2.85097,1.15624,0.81386,0.73333,0.82636,0.70029,0.75764,2.33017,1.06811,0.00100257,0.00100257,0.00100257
39,3231.12,0.94113,2.82972,1.15076,0.72385,0.9,0.749,0.62978,0.8108,2.62789,1.07816,0.00098204,0.00098204,0.00098204
40,3312.78,0.93934,2.79745,1.15318,0.88115,0.91588,0.84582,0.67622,0.74023,2.29377,1.00125,0.000961253,0.000961253,0.000961253
41,3394.38,0.93451,2.7906,1.14966,0.84783,0.93333,0.84653,0.71058,0.70996,2.24326,0.95895,0.00094023,0.00094023,0.00094023
42,3475.85,0.93007,2.76421,1.15018,0.71438,0.9,0.75054,0.6274,0.79731,2.65472,1.06709,0.000918991,0.000918991,0.000918991
